timestamp_offset_sec,zone,co_ppm,h2s_ppm,ch4_percent_lel,temp_c,pressure_bar,vibration_g,oxygen_percent,worker_count,permit_active,permit_type,shift_changeover_in_min
0,A1,8.0,0.8,1.2,28.0,1.01,0.05,20.9,2,true,confined_space,50
1,A1,8.2,0.8,1.2,28.0,1.01,0.05,20.87,2,true,confined_space,49
2,A1,8.3,0.8,1.2,28.1,1.01,0.05,20.84,2,true,confined_space,48
3,A1,8.4,0.8,1.3,28.1,1.01,0.05,20.82,2,true,confined_space,47
4,A1,8.6,0.8,1.3,28.2,1.01,0.05,20.79,2,true,confined_space,46
5,A1,8.8,0.9,1.3,28.2,1.01,0.05,20.76,2,true,confined_space,45
6,A1,8.9,0.9,1.3,28.2,1.01,0.05,20.73,2,true,confined_space,44
7,A1,9.1,0.9,1.3,28.3,1.01,0.05,20.7,2,true,confined_space,43
8,A1,9.2,0.9,1.4,28.3,1.01,0.05,20.68,2,true,confined_space,42
9,A1,9.3,0.9,1.4,28.4,1.01,0.05,20.65,2,true,confined_space,41
10,A1,9.5,0.9,1.4,28.4,1.01,0.05,20.62,2,true,confined_space,40
11,A1,9.7,0.9,1.4,28.4,1.01,0.05,20.59,2,true,confined_space,39
12,A1,9.8,0.9,1.4,28.5,1.01,0.05,20.56,2,true,confined_space,38
13,A1,9.9,0.9,1.5,28.5,1.01,0.05,20.54,2,true,confined_space,37
14,A1,10.1,0.9,1.5,28.6,1.01,0.05,20.51,2,true,confined_space,36
15,A1,10.2,1.0,1.5,28.6,1.01,0.05,20.48,2,true,confined_space,35
16,A1,10.4,1.0,1.5,28.6,1.01,0.05,20.45,2,true,confined_space,34
17,A1,10.6,1.0,1.5,28.7,1.01,0.05,20.42,2,true,confined_space,33
18,A1,10.7,1.0,1.6,28.7,1.01,0.05,20.4,2,true,confined_space,32
19,A1,10.8,1.0,1.6,28.8,1.01,0.05,20.37,2,true,confined_space,31
20,A1,11.0,1.0,1.6,28.8,1.01,0.05,20.34,2,true,confined_space,30
21,A1,11.2,1.0,1.6,28.8,1.01,0.05,20.31,2,true,confined_space,29
22,A1,11.3,1.0,1.6,28.9,1.01,0.05,20.28,2,true,confined_space,28
23,A1,11.4,1.0,1.7,28.9,1.01,0.05,20.26,2,true,confined_space,27
24,A1,11.6,1.0,1.7,29.0,1.01,0.05,20.23,2,true,confined_space,26
25,A1,11.8,1.1,1.7,29.0,1.01,0.05,20.2,2,true,confined_space,25
26,A1,11.9,1.1,1.7,29.0,1.01,0.05,20.17,2,true,confined_space,24
27,A1,12.1,1.1,1.7,29.1,1.01,0.05,20.14,2,true,confined_space,23
28,A1,12.2,1.1,1.8,29.1,1.01,0.05,20.12,2,true,confined_space,22
29,A1,12.3,1.1,1.8,29.2,1.01,0.05,20.09,2,true,confined_space,21
30,A1,12.5,1.1,1.8,29.2,1.01,0.05,20.06,2,true,confined_space,20
31,A1,12.6,1.1,1.8,29.2,1.01,0.05,20.03,2,true,confined_space,19
