timestamp_offset_sec,zone,co_ppm,h2s_ppm,ch4_percent_lel,temp_c,pressure_bar,vibration_g,oxygen_percent,worker_count,permit_active,permit_type,shift_changeover_in_min
0,A1,8.0,1.0,1.5,28.0,1.01,0.05,20.9,2,true,confined_space,45
0,B2,12.0,1.5,3.0,32.0,1.02,0.08,20.8,3,true,general_maintenance,0
0,C3,18.0,2.1,5.0,36.0,1.03,0.15,20.7,3,false,none,45
1,A1,8.1,1.0,1.5,28.0,1.01,0.05,20.9,2,true,confined_space,44
1,B2,12.2,1.5,3.0,32.0,1.02,0.081,20.8,3,true,general_maintenance,0
1,C3,18.8,2.1,5.2,36.0,1.031,0.151,20.7,3,false,none,44
2,A1,8.1,1.0,1.5,28.0,1.01,0.05,20.9,2,true,confined_space,43
2,B2,12.5,1.6,3.1,32.1,1.02,0.082,20.8,3,true,general_maintenance,0
2,C3,19.6,2.2,5.3,36.1,1.032,0.152,20.7,3,false,none,43
3,A1,8.2,1.0,1.6,28.1,1.01,0.05,20.8,2,true,confined_space,42
3,B2,12.8,1.6,3.1,32.1,1.02,0.083,20.8,3,true,general_maintenance,0
3,C3,20.4,2.2,5.5,36.1,1.033,0.153,20.7,3,false,none,42
4,A1,8.2,1.0,1.6,28.1,1.01,0.05,20.8,2,true,confined_space,41
4,B2,13.0,1.6,3.2,32.2,1.02,0.084,20.8,3,true,general_maintenance,0
4,C3,21.2,2.3,5.6,36.2,1.034,0.154,20.7,3,false,none,41
5,A1,8.2,1.1,1.6,28.1,1.01,0.05,20.8,2,true,confined_space,40
5,B2,13.2,1.6,3.2,32.2,1.02,0.085,20.8,3,true,general_maintenance,0
5,C3,22.0,2.4,5.8,36.2,1.035,0.155,20.7,3,false,none,40
6,A1,8.3,1.1,1.6,28.1,1.01,0.05,20.8,2,true,confined_space,39
6,B2,13.5,1.7,3.3,32.2,1.02,0.086,20.8,3,true,general_maintenance,0
6,C3,22.8,2.4,5.9,36.3,1.036,0.156,20.7,3,false,none,39
7,A1,8.3,1.1,1.6,28.1,1.01,0.05,20.7,2,true,confined_space,38
7,B2,13.8,1.7,3.4,32.3,1.02,0.087,20.8,3,true,general_maintenance,0
7,C3,23.6,2.5,6.0,36.4,1.037,0.157,20.7,3,false,none,38
8,A1,8.4,1.1,1.7,28.2,1.01,0.05,20.7,2,true,confined_space,37
8,B2,14.0,1.7,3.4,32.3,1.02,0.088,20.8,3,true,general_maintenance,0
8,C3,24.4,2.5,6.2,36.4,1.038,0.158,20.7,3,false,none,37
9,A1,8.4,1.1,1.7,28.2,1.01,0.05,20.7,2,true,confined_space,36
9,B2,14.2,1.8,3.5,32.4,1.02,0.089,20.8,3,true,general_maintenance,0
9,C3,25.2,2.6,6.3,36.5,1.039,0.159,20.7,3,false,none,36
10,A1,8.5,1.1,1.7,28.2,1.01,0.05,20.7,2,true,confined_space,35
10,B2,14.5,1.8,3.5,32.4,1.02,0.09,20.8,3,true,general_maintenance,0
10,C3,26.0,2.6,6.5,36.5,1.04,0.16,20.6,4,false,none,35
11,A1,8.6,1.1,1.7,28.2,1.01,0.05,20.7,2,true,confined_space,34
11,B2,14.8,1.8,3.5,32.4,1.02,0.091,20.8,3,true,general_maintenance,0
11,C3,26.8,2.7,6.7,36.5,1.041,0.161,20.6,4,false,none,34
12,A1,8.6,1.1,1.7,28.2,1.01,0.05,20.6,2,true,confined_space,33
12,B2,15.0,1.9,3.6,32.5,1.02,0.092,20.8,3,true,general_maintenance,0
12,C3,27.6,2.7,6.8,36.6,1.042,0.162,20.6,4,false,none,33
13,A1,8.7,1.1,1.8,28.3,1.01,0.05,20.6,2,true,confined_space,32
13,B2,15.2,1.9,3.6,32.5,1.02,0.093,20.8,3,true,general_maintenance,0
13,C3,28.4,2.8,7.0,36.6,1.043,0.163,20.6,4,false,none,32
14,A1,8.7,1.1,1.8,28.3,1.01,0.05,20.6,2,true,confined_space,31
14,B2,15.5,1.9,3.7,32.6,1.02,0.094,20.8,3,true,general_maintenance,0
14,C3,29.2,2.8,7.1,36.7,1.044,0.164,20.6,4,false,none,31
