timestamp_offset_sec,zone,co_ppm,h2s_ppm,ch4_percent_lel,temp_c,pressure_bar,vibration_g,oxygen_percent,worker_count,permit_active,permit_type,shift_changeover_in_min
0,C3,8.0,0.5,1.2,28.0,1.01,0.05,20.9,2,false,none,0
1,C3,8.2,0.5,1.2,28.0,1.01,0.05,20.9,2,false,none,0
2,C3,8.4,0.6,1.2,28.0,1.01,0.05,20.9,2,false,none,0
3,C3,8.6,0.6,1.3,28.1,1.01,0.05,20.9,2,false,none,0
4,C3,8.8,0.6,1.3,28.1,1.01,0.05,20.9,2,false,none,0
5,C3,9.0,0.6,1.3,28.1,1.01,0.05,20.9,2,false,none,0
6,C3,9.1,0.7,1.3,28.1,1.01,0.05,20.9,2,false,none,0
7,C3,9.3,0.7,1.4,28.2,1.01,0.05,20.9,2,false,none,0
8,C3,9.4,0.7,1.4,28.2,1.01,0.05,20.9,2,false,none,0
9,C3,9.6,0.7,1.4,28.2,1.01,0.05,20.9,2,false,none,0
10,C3,9.7,0.7,1.4,28.2,1.01,0.05,20.9,2,false,none,0
11,C3,9.8,0.7,1.4,28.3,1.01,0.05,20.9,2,false,none,0
12,C3,9.9,0.7,1.4,28.3,1.01,0.05,20.9,2,false,none,0
13,C3,9.9,0.7,1.5,28.3,1.01,0.05,20.9,2,false,none,0
14,C3,10.0,0.7,1.5,28.3,1.01,0.05,20.9,2,false,none,0
15,C3,10.0,0.7,1.5,28.3,1.01,0.05,20.9,2,false,none,0
16,C3,10.0,0.6,1.5,28.4,1.01,0.05,20.9,2,false,none,0
17,C3,10.0,0.6,1.5,28.4,1.01,0.05,20.9,2,false,none,0
18,C3,9.9,0.6,1.5,28.4,1.01,0.05,20.9,2,false,none,0
19,C3,9.9,0.6,1.5,28.4,1.01,0.05,20.9,2,false,none,0
20,C3,9.8,0.5,1.5,28.4,1.01,0.05,20.9,2,false,none,0
21,C3,9.7,0.5,1.5,28.4,1.01,0.05,20.9,2,false,none,0
22,C3,9.6,0.5,1.5,28.4,1.01,0.05,20.9,2,false,none,0
23,C3,9.5,0.4,1.5,28.5,1.01,0.05,20.9,2,false,none,0
24,C3,9.4,0.4,1.5,28.5,1.01,0.05,20.9,2,false,none,0
25,C3,9.2,0.4,1.5,28.5,1.01,0.05,20.9,2,false,none,0
26,C3,9.0,0.4,1.5,28.5,1.01,0.05,20.9,2,false,none,0
27,C3,8.9,0.3,1.4,28.5,1.01,0.05,20.9,2,false,none,0
28,C3,8.7,0.3,1.4,28.5,1.01,0.05,20.9,2,false,none,0
29,C3,8.5,0.3,1.4,28.5,1.01,0.05,20.9,2,false,none,0
30,C3,8.3,0.3,1.4,28.5,1.01,0.05,20.9,2,false,none,0
31,C3,8.1,0.3,1.4,28.5,1.01,0.05,20.9,2,false,none,0
32,C3,7.9,0.3,1.4,28.5,1.01,0.05,20.9,2,false,none,0
33,C3,7.7,0.3,1.3,28.5,1.01,0.05,20.9,2,false,none,0
34,C3,7.5,0.3,1.3,28.5,1.01,0.05,20.9,2,false,none,0
35,C3,7.3,0.3,1.3,28.5,1.01,0.05,20.9,2,false,none,0
36,C3,7.1,0.3,1.3,28.5,1.01,0.05,20.9,2,false,none,0
37,C3,6.9,0.4,1.3,28.5,1.01,0.05,20.9,2,false,none,0
38,C3,6.8,0.4,1.2,28.5,1.01,0.05,20.9,2,false,none,0
39,C3,6.6,0.4,1.2,28.5,1.01,0.05,20.9,2,false,none,0
40,C3,6.5,0.4,1.2,28.5,1.01,0.05,20.9,2,false,none,0
41,C3,6.4,0.5,1.2,28.4,1.01,0.05,20.9,2,false,none,0
42,C3,6.3,0.5,1.1,28.4,1.01,0.05,20.9,2,false,none,0
43,C3,6.2,0.5,1.1,28.4,1.01,0.05,20.9,2,false,none,0
44,C3,6.1,0.6,1.1,28.4,1.01,0.05,20.9,2,false,none,0
45,C3,6.0,0.6,1.1,28.4,1.01,0.05,20.9,2,false,none,0
46,C3,6.0,0.6,1.0,28.4,1.01,0.05,20.9,2,false,none,0
47,C3,6.0,0.6,1.0,28.4,1.01,0.05,20.9,2,false,none,0
48,C3,6.0,0.7,1.0,28.3,1.01,0.05,20.9,2,false,none,0
49,C3,6.0,0.7,1.0,28.3,1.01,0.05,20.9,2,false,none,0
50,C3,6.1,0.7,1.0,28.3,1.01,0.05,20.9,2,false,none,0
51,C3,6.1,0.7,1.0,28.3,1.01,0.05,20.9,2,false,none,0
52,C3,6.2,0.7,0.9,28.3,1.01,0.05,20.9,2,false,none,0
53,C3,6.3,0.7,0.9,28.2,1.01,0.05,20.9,2,false,none,0
54,C3,6.5,0.7,0.9,28.2,1.01,0.05,20.9,2,false,none,0
55,C3,6.6,0.7,0.9,28.2,1.01,0.05,20.9,2,false,none,0
56,C3,6.7,0.7,0.9,28.2,1.01,0.05,20.9,2,false,none,0
57,C3,6.9,0.7,0.9,28.1,1.01,0.05,20.9,2,false,none,0
58,C3,7.1,0.6,0.9,28.1,1.01,0.05,20.9,2,false,none,0
59,C3,7.3,0.6,0.9,28.1,1.01,0.05,20.9,2,false,none,0
60,C3,7.4,0.6,0.9,28.1,1.01,0.05,20.9,2,false,none,0
61,C3,7.6,0.6,0.9,28.0,1.01,0.05,20.9,2,false,none,0
62,C3,7.8,0.5,0.9,28.0,1.01,0.05,20.9,2,false,none,0
63,C3,8.0,0.5,0.9,28.0,1.01,0.05,20.9,2,false,none,0
64,C3,8.2,0.5,0.9,28.0,1.01,0.05,20.9,2,false,none,0
65,C3,8.4,0.4,0.9,27.9,1.01,0.05,20.9,2,false,none,0
66,C3,8.6,0.4,0.9,27.9,1.01,0.05,20.9,2,false,none,0
67,C3,8.8,0.4,1.0,27.9,1.01,0.05,20.9,2,false,none,0
68,C3,9.0,0.4,1.0,27.9,1.01,0.05,20.9,2,false,none,0
69,C3,9.2,0.3,1.0,27.8,1.01,0.05,20.9,2,false,none,0
70,C3,9.3,0.3,1.0,27.8,1.01,0.05,20.9,2,false,none,0
71,C3,9.5,0.3,1.0,27.8,1.01,0.05,20.9,2,false,none,0
72,C3,9.6,0.3,1.1,27.8,1.01,0.05,20.9,2,false,none,0
73,C3,9.7,0.3,1.1,27.8,1.01,0.05,20.9,2,false,none,0
74,C3,9.8,0.3,1.1,27.7,1.01,0.05,20.9,2,false,none,0
75,C3,9.9,0.3,1.1,27.7,1.01,0.05,20.9,2,false,none,0
76,C3,9.9,0.3,1.1,27.7,1.01,0.05,20.9,2,false,none,0
77,C3,10.0,0.3,1.2,27.7,1.01,0.05,20.9,2,false,none,0
78,C3,10.0,0.3,1.2,27.7,1.01,0.05,20.9,2,false,none,0
79,C3,10.0,0.4,1.2,27.6,1.01,0.05,20.9,2,false,none,0
80,C3,10.0,0.4,1.2,27.6,1.01,0.05,20.9,2,false,none,0
81,C3,9.9,0.4,1.3,27.6,1.01,0.05,20.9,2,false,none,0
82,C3,9.9,0.4,1.3,27.6,1.01,0.05,20.9,2,false,none,0
83,C3,9.8,0.5,1.3,27.6,1.01,0.05,20.9,2,false,none,0
84,C3,9.7,0.5,1.3,27.6,1.01,0.05,20.9,2,false,none,0
85,C3,9.6,0.5,1.3,27.6,1.01,0.05,20.9,2,false,none,0
86,C3,9.5,0.6,1.4,27.5,1.01,0.05,20.9,2,false,none,0
87,C3,9.3,0.6,1.4,27.5,1.01,0.05,20.9,2,false,none,0
88,C3,9.2,0.6,1.4,27.5,1.01,0.05,20.9,2,false,none,0
89,C3,9.0,0.6,1.4,27.5,1.01,0.05,20.9,2,false,none,0
